"","Year","WlCode","Lat","Lon","District","Block","WellType","PreMonsoonMay","PostMonsoonSep"
"1",2015,"W20008",28.87361111,77.275,"Baghpat","Khekra","Tube Well",22.58,19.05
"2",2013,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",26.75,25.3
"3",2012,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",25.2,24.98
"4",2011,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",25.11,3.14
"5",2010,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",26.76,25.54
"6",2009,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",23.53,24.26
"7",2008,"W20006",28.93888889,77.22222222,"Baghpat","Baghpat","Tube Well",15.51,14.72
"8",2007,"W20007",29.18333333,77.41944444,"Baghpat","Binauli","Tube Well",29.25,30.5
"9",2007,"W20006",28.93888889,77.22222222,"Baghpat","Baghpat","Tube Well",15.05,15.33
"10",2007,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",18.8,19.9
"11",2006,"W20007",29.18333333,77.41944444,"Baghpat","Binauli","Tube Well",28.9,30.52
"12",2006,"W20006",28.93888889,77.22222222,"Baghpat","Baghpat","Tube Well",14.31,14.43
"13",2005,"W20007",29.18333333,77.41944444,"Baghpat","Binauli","Tube Well",25.48,26
"14",2005,"W20006",28.93888889,77.22222222,"Baghpat","Baghpat","Tube Well",14.33,13.15
"15",2005,"W20009",28.95138889,77.41805556,"Baghpat","Pilana","Tube Well",16.18,16.64
"16",2001,"W14690",28.885,77.36,"Baghpat","Pilana","Dug Well",12.37,12.76
"17",2000,"W14685",28.93333333,77.21666667,"Baghpat","Baghpat","Dug Well",12.01,12.71
"18",1999,"W15503",29.26666667,77.15833333,"Baghpat","Chhaprauli","Dug Well",8.86,8.54
"19",1999,"W14690",28.885,77.36,"Baghpat","Pilana","Dug Well",9.96,10.31
"20",1999,"W14685",28.93333333,77.21666667,"Baghpat","Baghpat","Dug Well",10.96,11.24
"21",1998,"W14685",28.93333333,77.21666667,"Baghpat","Baghpat","Dug Well",11.71,8.8
"22",1998,"W15503",29.26666667,77.15833333,"Baghpat","Chhaprauli","Dug Well",8.99,7.2
"23",1998,"W14690",28.885,77.36,"Baghpat","Pilana","Dug Well",10.4,8.2
"24",1997,"W15503",29.26666667,77.15833333,"Baghpat","Chhaprauli","Dug Well",12.48,8.03
"25",1997,"W14690",28.885,77.36,"Baghpat","Pilana","Dug Well",10.3,9.5
"26",1997,"W14685",28.93333333,77.21666667,"Baghpat","Baghpat","Dug Well",11.96,10.84
"27",1996,"W14686",29.1,77.26166667,"Baghpat","Baraut","Dug Well",10.4,10.3
"28",1996,"W15503",29.26666667,77.15833333,"Baghpat","Chhaprauli","Dug Well",9.15,8.69
"29",1996,"W14685",28.93333333,77.21666667,"Baghpat","Baghpat","Dug Well",12.69,10.96
"30",1996,"W14690",28.885,77.36,"Baghpat","Pilana","Dug Well",9.07,8.75
"31",2016,"W21698",28.52222222,77.97777778,"Bulandshahr","Lakhaothi","Tube Well",8.86,5.52
"32",2016,"W14819",28.625,77.99166667,"Bulandshahr","Bhawan Bahadur Nagar","Dug Well",8.07,8.03
"33",2016,"W15594",28.44166667,77.66666667,"Bulandshahr","Sikandrabad","Dug Well",5.2,11.41
"34",2015,"W22337",28.24027778,77.9375,"Bulandshahr","Araniya","Tube Well",9.22,9.15
"35",2015,"W21698",28.52222222,77.97777778,"Bulandshahr","Lakhaothi","Tube Well",7.69,4.92
"36",2015,"W15590",28.16333333,78.36666667,"Bulandshahr","Dibai","Dug Well",3.21,5.36
"37",2015,"W15594",28.44166667,77.66666667,"Bulandshahr","Sikandrabad","Dug Well",5.7,11.6
"38",2015,"W14819",28.625,77.99166667,"Bulandshahr","Bhawan Bahadur Nagar","Dug Well",8.37,8.18
"39",2013,"W15590",28.16333333,78.36666667,"Bulandshahr","Dibai","Dug Well",5.64,5.16
"40",2013,"W15594",28.44166667,77.66666667,"Bulandshahr","Sikandrabad","Dug Well",9.7,10
"41",2013,"W22337",28.24027778,77.9375,"Bulandshahr","Araniya","Tube Well",9.06,7.4
"42",2013,"W21698",28.52222222,77.97777778,"Bulandshahr","Lakhaothi","Tube Well",6.25,4.69
"43",2013,"W14821",28.13833333,78.425,"Bulandshahr","Dibai","Dug Well",7.2,7.1
